Band;Country;MDGenre;MAGenre;
1000MODS;Greece;psychedelic stoner rock;;
A SERENADE TO KILL;Austria;melodic core metal;;
ALIEN WEAPONRY;New Zealand;thrash metal;;
ANAKIM;United Kingdom;death metal;Death Metal;
AND THERE WILL BE BLOOD;Germany;Melodic Death Metal;Metalcore/Melodic Death Metal;
ANNISOKAY;Germany;metalcore;;
ANY GIVEN DAY;Germany;deathcore;;
ARMAHDA;Brazil;HEAVY METAL;Heavy/Power Metal;
ASOMVEL;UK;HEAVY METAL;Heavy Metal;
ASYLUM PYRE;France;melodic;Progressive/Power Metal;
ATER ERA;Slovenia;black metal;Black Metal;
ATHIRIA;Austria;death metal;Death Metal;
ATTIC;Germany;HEAVY METAL;Heavy Metal;
BATTLE BEAST;Finland;HEAVY METAL;Heavy Metal;
BATTLESWORD;Germany;HEAVY METAL;Melodic Death Metal;
BELPHEGOR;Austria;death  / black metal diabolical;Death/Black Metal;
BIRDFLESH;Sweden;Grindcore;Grindcore;
BLACK REAPER;Slovenia;thrash metal;Thrash Metal;
BLEEDING GODS;The Netherlands;death metal;Thrash/Death Metal;
BOLZER;2 guys for 1 extreme metal band;black metal death metal;Black/Death Metal;
BRUTART;Slovenia;death doom;Death/Doom Metal;
CARONTE;Italy;shamanic doom;Doom/Stoner Metal;
CARPATHIAN FOREST;Norway;black metal;Black Metal;
CARRION;Belgium;death metal;Death Metal;
CHRONOSPHERE;Greece;thrash metal;Thrash Metal;
COLD SNAP;Croatia;groove metal;;
COPIA;Australia;;;
CROWN THE FALLEN;Austria;metal;Melodic Death Metal;
DARKENED NOCTURN SLAUGHTERCULT;Germany;black metal;Black Metal;
DAWNLESS;Switzerland;melodic;Progressive Power Metal;
DEATH ALLEY;Holland;;;
DEKADENT;Slovenia;black metal;Atmospheric Black Metal;
DEMONICAL;Sweden;death metal;Death Metal;
DIAMOND HEAD;United Kingdom;NWOBHM;NWOBHM (early) /  Hard Rock (later);
DREAMSPIRIT;China;HEAVY METAL;Heavy/Folk Metal;
DUST BOLT;Germany;thrash metal;Thrash Metal;
DYING GORGEOUS LIES;Germany;metal;Heavy/Thrash Metal;
EVENDIM;Finland;folk metal;;
EXIST IMMORTAL;United Kingdom;metalcore;;
FEARANCY;Austria;industrial metal groove metal;;
FIRTAN;Germany;black metal;Pagan/Black Metal;
FORJA;Spain;folk metal;Folk/Power Metal;
GIRLSCHOOL;United Kingdom;NWOBHM;Heavy Metal / NWOBHM; 
GOATWHORE;USA;metal;Black/Death/Thrash Metal;
GRUESOME;USA;death metal;death metal;
GUT;Germany;Grindcore;Brutal Death Metal;
HANGAR 55;Slovenia;HEAVY METAL hard rock;Heavy Metal;
HARAKIRI FOR THE SKY;Austria;Post Black Metal;Post-Black Metal;
HATE;Poland;Extreme metal;Death Metal;
HATE ETERNAL;USA;death metal;Death Metal;
HEART ATTACK;France;groove thrash metal;Thrash/Groove Metal;
HECATE ENTHRONED;United Kingdom;death metal;Melodic Black/Death Metal;
HEXA MERA;Belgium;Melodic Death Metal;Melodic Death Metal;
INGESTED;United Kingdom;slamming death;Brutal Death Metal/Deathcore;
JIG AI;Czech Republic;;Death Metal/Goregrind;
JINJER;Ukraine;Progressive;;
LORDS OF BLACK;Spain;HEAVY METAL;Heavy Metal;
MALEMORT;France;Free Metal;;
MANTAR;Germany;Black Metal Doom Punk;Sludge Metal;
MASTER;USA;death metal;Death/Thrash Metal;
MEMBRANCE;Italy;death metal;Death Metal;
MONARCH;France;doom metal;Doom Metal;
MONUMENT;UK;HEAVY METAL;Heavy Metal;
MOROS;Austria;death thrash;Death/Thrash Metal;
MOROST;Slovenia;death groove metal;Progressive Death Metal;
MYRKUR;Denmark;;Atmospheric Black/Doom Metal/Ambient;
NORDJEVEL;Norway;black metal;Black Metal;
OMEGA SUN;Slovenia;fuzz;Stoner/Doom Metal;
OMOPHAGIA;Switzerland;death metal;Death Metal;
ORCUS O DIS;Mexico;Melodic Death Metal;Melodic Death Metal;
OUBLIETTE;USA;Extreme metal;Melodic Black Metal;
PALLBEARER;USA;doom metal;Doom Metal;
PICTURA POESIS ;The Netherlands;symphonic metal;Symphonic Death Metal;
PILLORIAN;USA;black metal;Black Metal;
PRIMORDIAL;Ireland;Primordial metal;Celtic Folk/Black Metal;
RAGE;Germany;HEAVY METAL speed metal;Heavy/Speed/Power Metal;
REJECT THE SICKNESS;Belgium;metalcore melodic;Melodic Death Metal/Metalcore;
ROTTEN SOUND;Finland;Grindcore death metal;Grindcore;
SAILLE;Belgium;black metal;Symphonic Black Metal;
SASQUATCH;Germany;;Death Metal;
SCHAMMASCH;Switzerland;;Black/Death Metal (early) /  Avant-garde/Black Metal (later);
SELVANS;Italy;;Atmospheric Folk/Black Metal;
SHADE EMPIRE;Finland;Symphonic extreme metal;Melodic Industrial Death/Black Metal;
SHINING;Sweden;Extreme metal;Black Metal;
SINISTRO;Portugal;ambient;Sludge/Doom/Post-Metal;
SISTERS OF SUFFOCATION;Netherlands;death metal;Death Metal;
SKELETONWITCH;USA;metal;Melodic Death/Thrash Metal;
SLEEPERS' GUILT;Luxembourg;Progressive melodic;Melodic Death Metal;
SOBER ASSAULT;Slovenia;;Melodic Thrash/Death Metal;
SORCERER;Sweden;doom metal;Epic Doom Metal;
SOULFLY;Brazil/USA;metal;Nu-Metal with tribal influences (early) /  Groove/Thrash/Death Metal (later);
SPLINTERBOMB;The Netherlands;groove thrash metal;Thrash/Groove Metal;
STORM SEEKER;Germany;folk metal;Folk Metal;
SUPREME CARNAGE;Germany;death metal;Death Metal;
TEN TON SLUG;UK;Sludge;Sludge/Groove Metal;
TESSERACT;UK;Progressive Metal;;
THE BEARDED BASTARDS;France;hardcore thrash;;
THE LURKING FEAR;Sweden / UK;;Death Metal;
THURISAZ;Belgium;atmospheric avantgarde metal;Atmospheric Death/Black Metal;
TREMONTI;USA;metal  heavy rock;;
TROLLORT;Switzerland;black folk metal;Folk Metal;
TURBOWARRIOR OF STEEL;Belgium;Crossover party thrash;Thrash Metal /  Punk;
TYRMFAR;Switzerland;black metal death metal;Melodic Black Metal;
ULTHA;Germany;black metal;Black Metal;
VAD;Spain;black metal;Pagan Black Metal;
VALUK;Slovenia;black metal;Black Metal;
VASECTOMY;Slovenia;;Death Metal;
VICTORIUS;Germany;power metal;Power Metal;
