sobota 20. 07.,,
third,,
 ,Pyroxene,meh
 ,Circle of execution,dokaj slabi prehodi sam ce ni nc bolsga
 ,Procreation,kr uredu ni lih presezk sam lahko gres
 ,Big bad wolf,ni neki bas sam ce ni nc bolsga za delat
 ,Convictive,definitivno ne
 ,Inmate,meh
 ,Doctor Cyclops,definitivno ne
,,
nedelja 21. 07.,,
third,,
 ,Molybaron,krneki
 ,Hellavista,ni neki baš
 ,Klynt,kr uredu
 ,Eternal delyria,krneki
 ,Teleport,krneki
 ,Coexistence,kr uredu
 ,Signs of algorithm,kr uredu
,,
ponedeljek 22. 07.,,
main,,
15:40 - 16:10,Ten ton slug,kr uredu
16:30 - 17:10,Unhuman insurrection,o boh ne
17:30 - 18:20,Lucifer,definitivno ni metal ampak ni slabo
18:45 - 19:35,Alien Weaponry,ni glih moj stil sam ce ni bolsga
20:00 - 21:00,While she sleeps,mixed feels ce bos meu se koga k bi su
21:30 - 22:40,Neurosis,bl ne k ja
23:10 - 00:30,Arch enemy,ne
,,
second,,
15:35 - 16:10,Fearancy,če hočš slb cover band limp bizkit brez kletvic
16:25 - 17:00,Hexa mera,kr konkretn dobr
17:20 - 18:00,Siska,wannabe iron maiden? Ni lih dobr
18:20 - 19:05,Leeched,kr uredu mau suicidaly se splača pogledat
19:25 - 20:10,Rolo Tomassi,je kr uredu sam preveč non metal če nimaš druzga
20:35 - 21:25,October tide,ni bed se splača
21:50 - 22:50,Dornenreich,vokal v de kaj čš bolšga
00:30 - 01:40,Necrophobic,zelo dobr
,,
third,,
 ,Bel o kan,ni slabo
 ,Incursed,kr konkretno dobr
 ,Heathenspawn,če daš pičko v bend še ne pomen da bo dobr
 ,Moonskin,skor k pentagram sam slb ženski vokal
 ,Distruzione,weak vokal
,,
torek 23. 07.,,
main,,
15:40 - 16:10,Voice of ruin,bl deathen trash kr dobr
16:30 - 17:10,W.E.B.,ni slabo sam ni pa tut neki ful
17:30 - 18:20,Infected rain,meh
18:45 - 19:35,The Vintage Caravan,ni slabo sam ne spada na kemp
20:00 - 21:00,Rise of the northstar,japan influ limp bizkit neki ni slabo
